Week,TV_Ads,SocialMedia,Newspaper,Sales
1,2809,714,206,29692.24
2,1785,704,373,22408.9
3,3016,1158,222,34466.54
4,1691,823,259,23337.73
5,2534,1216,206,29874.77
6,2936,1158,307,33637.85
7,1951,1059,350,26917.11
8,3054,763,378,35258.08
9,2365,948,271,31093.55
10,2189,704,223,28813.65
11,2278,699,291,27614.39
12,3152,644,386,30295.57
13,2440,1149,231,32440.13
14,2630,900,412,30506.24
15,2787,1233,426,35817.74
16,2942,671,211,28776.0
17,2854,833,397,31462.45
18,1976,703,297,25122.38
19,2069,1064,362,28746.16
20,2227,814,371,26528.56
21,2046,1299,365,32001.13
22,2593,850,241,30495.27
23,2446,988,269,31974.02
24,2640,824,375,29938.26
25,2164,657,258,26435.83
26,2321,874,216,25481.83
27,1932,1180,424,28340.72
28,2522,1005,426,29938.43
29,3372,1258,317,38729.16
30,3025,1174,337,35977.23
31,2038,1198,309,30241.6
32,1949,741,330,23860.72
33,2510,693,393,28907.38
34,2785,763,402,30816.2
35,2893,1032,352,34713.18
36,2458,1141,264,31723.17
37,3488,1166,420,40653.88
38,1734,1298,426,27433.56
39,2599,873,396,29818.07
40,2390,761,316,27189.86
41,1506,869,448,22362.52
42,3369,708,422,34008.83
43,2780,905,415,30456.8
44,1813,982,395,24486.24
45,1830,1152,444,28047.72
46,1501,1213,282,23762.87
47,2500,619,228,29813.04
48,3203,914,261,32795.74
49,1618,846,424,23214.63
50,2998,1097,408,34497.67
51,1641,1145,396,27833.1
52,3439,1162,242,39196.98
53,2042,1140,423,25895.5
54,3402,1152,393,35373.02
55,2994,805,382,30394.57
56,2830,982,312,36947.85
57,3342,1129,315,37732.78
58,2192,621,350,26162.69
59,2634,835,350,30160.09
60,2792,660,258,29925.4
61,1638,632,420,21258.87
62,2070,1285,324,31573.45
63,1938,1152,233,27248.51
64,2680,1084,262,29060.94
65,3106,1084,406,34779.34
66,2849,1041,290,33321.83
67,2367,1020,319,30066.71
68,2838,1261,225,34106.77
69,1624,1012,386,23463.39
70,2009,796,248,27880.58
71,2598,1059,235,30230.3
72,2011,677,313,25164.54
73,3154,1163,225,41156.95
74,3212,615,448,34093.65
75,1691,842,242,22215.95
76,3270,1010,431,36826.57
77,1620,768,297,24240.63
78,3397,1065,273,36680.01
79,2366,1169,369,30937.15
80,2107,822,447,25968.74
81,1619,1193,388,24105.52
82,1617,651,349,21278.06
83,2476,1114,435,32105.43
84,3467,1120,220,36700.12
85,3243,790,217,31369.89
86,1981,1013,230,25631.24
87,3428,1183,263,37422.16
88,1667,1029,368,25210.85
89,2695,1178,333,32737.12
90,2871,921,261,33088.91
91,2043,1005,233,26644.29
92,2147,674,202,23991.89
93,2438,1236,344,32633.55
94,1936,1118,267,27564.95
95,1771,957,425,26695.83
96,2083,761,312,26217.18
97,3207,1156,380,35106.51
98,3152,1269,335,41008.8
99,1516,1283,409,23369.28
100,1712,737,267,21829.9
101,1736,709,390,22176.94
102,2738,815,383,30274.72
103,2202,808,375,26320.23
104,2500,857,431,28736.28
105,3359,652,223,30996.32
106,1590,603,285,19055.64
107,3079,733,363,33032.78
108,2404,1164,380,31236.06
109,2375,1174,202,33447.3
110,2915,752,339,33500.64
111,1573,978,349,22821.88
112,1585,915,293,23198.56
113,3341,640,430,31874.25
114,2865,705,290,32071.95
115,3097,1173,426,38927.69
116,3034,758,436,29419.88
117,3404,842,421,36741.37
118,1862,1022,206,28416.22
119,1867,940,400,28532.91
120,3269,854,268,32944.8
121,1826,710,297,25671.94
122,1955,804,409,23433.27
123,3380,1071,289,35740.02
124,1966,828,206,27720.03
125,2851,797,302,29587.45
126,3480,885,289,38415.92
127,2813,1121,302,32174.58
128,2178,628,229,22405.49
