House,Size,Bedrooms,Distance,Price
1,108,2,13,$103930.26
2,87,2,5,154929.76
3,,3,9,224271.87
4,ERROR,???,NaN,INVALID
5,197,6,3,366822.34
6,97,2,Unknown,97940.36
7,151,5,12,214706.61
8,123,6,13,175881.61
9,136,4,15,$153784.35
10,160,3,12,185944.11
11,217,4,13,238780.71
12,92,2,4,$142162.82
13,,6,6,360096.51
14,167,2,6,227016.85
15,208,3,10,290473.14
16,218,6,2,369773.49
17,,3,2,269713.07
18,112,3,12,152785.31
19,134,6,14,187535.71
20,ERROR,???,NaN,INVALID
21,,3,3,209629.04
22,201,3,Unknown,207556.97
23,185,,15,224058.43
24,143,3,5,204354.62
25,,5,14,144011.88
26,140,3,8,$184490.56
27,179,4,14,215491.4
28,128,4,5,211605.17
29,202,6,Unknown,$257364.38
30,183,2,11,210602.43
31,213,4,6,324348.17
32,98,2,Unknown,148430.19
33,113,4,3,232057.34
34,215,2,12,232089.28
35,109,2,13,95501.44
36,,4,15,$232074.15
37,113,,Unknown,212553.65
38,219,2,15,$203828.52
39,90,4,5,168791.67
40,140,3,Unknown,130752.97
41,185,,6,281593.25
42,169,4,Unknown,212424.46
43,97,4,7,160849.88
44,,6,6,230234.56
45,,2,8,275862.0
46,,4,8,196250.46
47,156,6,6,272551.99
48,124,6,Unknown,189247.41
49,162,5,9,237677.99
50,,6,7,340897.41
51,117,,2,204951.82
52,178,5,Unknown,291622.72
53,107,,5,230357.1
54,198,6,10,331343.62
55,209,5,15,269387.41
56,150,6,Unknown,238995.67
57,161,6,Unknown,316219.79
58,ERROR,???,NaN,INVALID
59,177,5,2,333224.97
60,136,5,5,243752.22
61,122,5,4,$257804.0
62,198,3,2,314359.8
63,151,,6,266799.86
64,90,,5,133439.84
65,135,5,13,182435.55
66,,2,11,197180.85
67,130,2,11,140318.2
68,90,4,10,118377.0
69,205,2,8,282669.71
70,149,6,14,201601.81
71,162,3,15,180521.66
72,206,4,4,320355.82
73,150,6,2,294285.36
74,,5,14,257981.38
75,174,5,10,238304.17
76,110,3,7,167950.88
77,203,4,13,228161.61
78,157,2,13,150872.71
79,112,5,3,$249057.53
80,,2,15,188345.4
81,157,2,5,247162.87
82,193,4,15,$238879.08
83,105,3,Unknown,$130344.99
