Student,StudyHours,Attendance,SleepHours,ExamScore
1,14,67,4,70.14
2,6,66,9,52.11
3,15,94,4,80.34
4,5,73,5,47.85
5,12,98,4,68.12
6,15,94,7,83.32
7,7,88,8,61.58
8,6,87,6,64.84
9,8,69,5,59.09
10,5,84,4,49.24
11,9,82,8,66.69
12,11,94,4,71.19
13,10,65,8,62.99
14,9,96,5,71.92
15,15,64,4,68.55
16,5,74,4,41.35
17,10,77,7,64.09
18,9,82,5,59.43
19,14,77,9,86.13
20,13,100,5,76.66
21,12,75,5,65.52
22,14,95,5,80.95
23,14,80,4,74.33
24,9,85,6,65.71
25,5,73,8,55.38
26,14,91,7,79.56
27,14,89,5,78.12
28,12,94,6,78.8
29,15,97,7,89.83
30,7,68,8,54.58
31,11,65,4,62.78
32,6,87,8,58.14
33,5,84,7,51.0
34,8,95,4,59.35
35,14,67,9,82.8
36,14,81,4,70.08
37,8,87,5,51.5
38,15,76,8,84.64
39,6,92,4,57.71
40,14,92,8,81.35
41,7,69,6,54.69
42,12,60,8,63.63
43,9,91,4,66.4
44,8,75,4,58.36
45,7,96,4,63.36
46,5,94,5,57.07
47,6,90,8,63.29
48,13,87,5,79.22
49,12,72,9,68.76
50,14,83,7,91.69
51,12,88,4,71.02
52,4,97,8,58.75
53,7,97,5,67.47
54,4,74,4,44.68
55,4,81,4,43.28
56,11,73,8,69.41
57,6,96,8,55.69
58,10,72,4,61.8
59,5,87,6,50.12
60,15,63,9,81.47
61,14,66,4,67.02
62,5,75,5,51.09
63,7,94,7,64.92
64,11,75,4,66.26
65,11,95,4,84.76
66,4,65,5,47.96
67,6,86,7,50.16
68,4,70,7,48.63
69,4,84,6,56.68
70,8,87,9,63.88
71,15,95,9,88.54
72,8,73,4,53.03
73,13,94,4,75.58
74,13,90,8,79.03
75,12,70,4,67.19
76,6,64,8,52.6
77,5,75,7,58.13
78,7,97,8,71.45
79,4,99,4,47.27
80,12,80,6,74.17
81,7,80,5,55.89
82,14,79,7,80.51
83,9,64,4,41.5
84,5,64,8,53.93
85,7,92,6,63.7
86,5,75,6,53.24
87,8,70,7,62.03
88,13,93,4,69.91
89,14,95,6,83.4
90,6,76,4,49.82
91,5,95,5,54.24
92,15,81,5,84.2
93,14,100,6,80.16
94,4,65,9,49.1
95,10,77,4,68.97
96,14,76,5,74.65
97,15,88,8,83.99
98,5,64,9,46.77
99,6,94,4,58.68
100,6,87,5,50.84
101,4,79,6,54.64
102,4,82,5,44.07
103,14,75,9,85.76
104,10,99,9,80.39
105,6,75,5,59.02
106,10,61,5,57.71
107,15,81,7,84.38
108,7,77,5,47.64
109,15,66,7,82.79
110,7,72,7,51.01
111,9,79,5,62.39
112,10,81,6,72.09
113,5,77,6,48.55
114,12,81,4,65.76
115,5,76,5,39.27
116,4,66,8,42.44
117,10,82,9,72.07
118,12,67,7,65.03
119,13,72,6,76.12
120,12,94,9,81.48
121,15,72,6,68.74
122,9,99,6,72.98
123,14,67,9,81.65
124,14,86,6,76.2
125,10,78,8,71.31
126,10,71,8,69.3
127,13,79,7,75.49
128,8,73,7,59.77
129,13,98,9,82.41
130,14,73,8,81.98
131,11,70,9,74.45
132,14,99,6,85.35
133,5,75,9,52.31
134,6,61,4,52.83
135,7,90,8,64.51
136,10,100,8,73.74
137,7,84,7,58.47
138,15,60,4,72.33
139,10,74,5,64.76
140,11,63,8,60.88
141,7,67,7,58.19
142,12,95,8,82.42
143,9,88,8,71.95
144,10,95,7,64.25
145,6,90,7,59.13
146,14,77,8,82.31
147,11,100,5,73.05
148,8,75,6,60.49
149,9,80,8,68.2
150,10,69,9,68.31
151,7,64,7,50.12
152,10,63,5,62.14
153,10,84,8,70.95
154,13,84,7,76.84
155,4,82,6,49.97
156,10,94,9,66.86
157,15,94,8,90.91
158,8,87,7,61.23
159,4,84,6,46.91
160,15,70,7,72.25
161,6,99,8,67.45
162,13,61,4,66.38
163,14,87,5,79.5
164,8,84,6,59.72
165,7,89,6,56.0
166,8,86,6,69.22
167,5,90,4,51.99
168,9,74,9,64.59
169,5,62,4,46.13
170,4,99,5,52.57
171,7,68,7,53.0
172,7,89,9,60.29
173,8,83,5,51.7
174,15,67,5,68.24
175,8,66,8,62.61
176,14,84,7,80.46
177,15,72,4,68.29
178,7,66,9,53.78
179,8,98,4,64.28
180,4,82,8,47.85
181,10,83,4,60.25
182,10,91,4,66.16
183,10,83,9,74.85
184,6,87,5,52.6
185,15,93,9,87.49
186,12,90,7,83.31
187,10,97,6,69.78
188,5,77,7,55.3
189,7,89,8,60.3
190,4,91,6,50.0
191,6,91,5,54.71
192,8,98,9,72.75
193,8,95,4,59.31
194,7,86,7,60.63
195,12,75,9,68.36
196,11,61,4,61.04
197,8,74,7,58.88
198,13,83,7,73.61
199,12,93,6,69.59
200,9,82,9,71.29
201,11,77,6,67.88
202,7,80,4,56.63
203,15,94,9,89.81
204,11,77,9,74.96
205,13,93,8,80.92
206,7,78,5,57.3
207,9,71,6,65.42
208,8,62,4,52.44
209,12,78,9,80.85
210,11,66,4,59.64
211,13,78,7,71.68
212,4,76,7,49.99
213,5,64,7,43.46
214,14,63,5,70.87
215,6,96,6,62.2
216,12,86,8,77.94
217,13,99,5,79.23
218,11,79,8,67.64
219,10,79,8,64.72
220,15,66,5,70.52
221,14,73,6,73.85
222,6,95,4,54.32
223,6,60,7,45.19
224,8,62,5,55.14
225,8,78,9,65.28
226,7,76,9,59.71
227,13,72,7,75.64
228,6,77,5,54.28
229,5,63,5,46.82
230,13,78,7,70.11
231,5,89,9,57.85
232,8,92,8,70.83
233,11,88,4,61.35
234,15,80,8,78.15
235,8,61,4,52.49
236,13,97,4,82.44
237,14,77,8,85.81
238,11,93,9,78.88
239,11,77,5,70.68
240,11,65,7,65.72
241,9,86,6,64.19
242,6,81,7,58.3
243,15,91,6,81.19
244,12,62,7,64.25
